question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66
pga27d,278,17.84338896020539,0,0.0,1280,82.15661103979461,141,9.050064184852374,0,0.0,137,8.793324775353016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga028,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1276,81.89987163029525,0,0.0,278,17.84338896020539,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga028a,278,17.84338896020539,0,0.0,1280,82.15661103979461,155,9.948652118100128,0,0.0,123,7.894736842105263,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga028b,123,7.894736842105263,0,0.0,1435,92.10526315789474,60,3.8510911424903727,0,0.0,63,4.043645699614891,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga028c,218,13.992297817715018,0,0.0,1340,86.00770218228499,117,7.509627727856226,0,0.0,101,6.482670089858793,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga028d,218,13.992297817715018,0,0.0,1340,86.00770218228499,122,7.830551989730424,0,0.0,96,6.161745827984596,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga029,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1324,84.98074454428755,0,0.0,231,14.826700898587934,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga029a,231,14.826700898587934,0,0.0,1327,85.17329910141207,119,7.637997432605904,0,0.0,111,7.124518613607189,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga029b,111,7.124518613607189,0,0.0,1447,92.8754813863928,64,4.10783055198973,0,0.0,47,3.0166880616174585,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga029c,167,10.718870346598203,0,0.0,1391,89.28112965340179,91,5.840821566110398,0,0.0,76,4.878048780487805,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga029d,167,10.718870346598203,0,0.0,1391,89.28112965340179,74,4.7496790757381255,0,0.0,93,5.969191270860077,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga030,392,25.1604621309371,0,0.0,1166,74.8395378690629,323,20.73170731707317,0,0.0,64,4.10783055198973,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.3209242618741977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pga030ay,64,4.10783055198973,44,2.8241335044929397,1494,95.89216944801026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.3209242618741977,5,0.3209242618741977,11,0.7060333761232349,5,0.3209242618741977,4,0.25673940949935814,8,0.5134788189987163,7,0.4492939666238768,3,0.19255455712451863,6,0.38510911424903727,3,0.19255455712451863,6,0.38510911424903727,0,0.0,1,0.06418485237483953,0,0.0,0,0.0
pga030az,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
