question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_55,pct_55,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
psa013,549,35.23748395378691,0,0.0,1009,64.7625160462131,305,19.57637997432606,0,0.0,243,15.596919127086007,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014y,549,35.23748395378691,386,24.77535301668806,1009,64.7625160462131,0,0.0,2,0.12836970474967907,17,1.0911424903722722,41,2.631578947368421,55,3.530166880616174,48,3.080872913992298,42,2.6957637997432604,41,2.631578947368421,33,2.1181001283697047,31,1.989730423620026,37,2.3748395378690628,24,1.540436456996149,25,1.6046213093709885,21,1.3478818998716302,28,1.797175866495507,25,1.6046213093709885,14,0.8985879332477535,14,0.8985879332477535,1,0.06418485237483953,0,0.0,50,3.209242618741977,0,0.0,0,0.0
psa014z,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014a,172,11.0397946084724,0,0.0,1386,88.96020539152761,85,5.455712451861361,0,0.0,87,5.58408215661104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014b,405,25.994865211810016,0,0.0,1153,74.00513478818999,174,11.16816431322208,0,0.0,231,14.826700898587934,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014c,231,14.826700898587934,0,0.0,1327,85.17329910141207,62,3.979460847240052,0,0.0,169,10.847240051347882,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014dy,169,10.847240051347882,119,7.637997432605904,1389,89.15275994865212,0,0.0,0,0.0,0,0.0,7,0.4492939666238768,8,0.5134788189987163,7,0.4492939666238768,15,0.9627727856225932,10,0.6418485237483954,16,1.0269576379974326,13,0.8344030808729139,7,0.4492939666238768,15,0.9627727856225932,13,0.8344030808729139,12,0.7702182284980745,9,0.5776636713735559,11,0.7060333761232349,7,0.4492939666238768,10,0.6418485237483954,1,0.06418485237483953,0,0.0,4,0.25673940949935814,4,0.25673940949935814,0,0.0
psa014dz,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa014e,82,5.263157894736842,0,0.0,1476,94.73684210526315,36,2.3106546854942236,0,0.0,46,2.952503209242619,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa015,549,35.23748395378691,61,3.915275994865212,1009,64.7625160462131,385,24.71116816431322,61,3.915275994865212,103,6.611039794608472,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
psa015a,164,10.526315789473683,41,2.631578947368421,1394,89.47368421052632,0,0.0,41,2.631578947368421,100,6.418485237483954,23,1.4762516046213094,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
