question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_2_SI,pct_2_SI,cnt_8_NA,pct_8_NA
pma006d,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma007,7,0.4492939666238768,0,0.0,1551,99.55070603337613,7,0.4492939666238768,0,0.0,0,0.0
pma007a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma007b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma007c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma007d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma008,7,0.4492939666238768,0,0.0,1551,99.55070603337613,6,0.38510911424903727,1,0.06418485237483953,0,0.0
pma008a,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma008b,1,0.06418485237483953,0,0.0,1557,99.93581514762516,0,0.0,1,0.06418485237483953,0,0.0
pma008c,1,0.06418485237483953,0,0.0,1557,99.93581514762516,0,0.0,1,0.06418485237483953,0,0.0
pma008d,1,0.06418485237483953,0,0.0,1557,99.93581514762516,0,0.0,1,0.06418485237483953,0,0.0
pma008e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma008f,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma009,7,0.4492939666238768,0,0.0,1551,99.55070603337613,6,0.38510911424903727,1,0.06418485237483953,0,0.0
pma009a,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma009b,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma009c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma009d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma009e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma010,7,0.4492939666238768,0,0.0,1551,99.55070603337613,6,0.38510911424903727,1,0.06418485237483953,0,0.0
pma010a,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma010b,1,0.06418485237483953,0,0.0,1557,99.93581514762516,1,0.06418485237483953,0,0.0,0,0.0
pma010c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma010d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma011,7,0.4492939666238768,0,0.0,1551,99.55070603337613,5,0.3209242618741977,2,0.12836970474967907,0,0.0
pma011a,2,0.12836970474967907,0,0.0,1556,99.87163029525033,2,0.12836970474967907,0,0.0,0,0.0
pma011b,2,0.12836970474967907,0,0.0,1556,99.87163029525033,2,0.12836970474967907,0,0.0,0,0.0
pma011c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma011d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma012,7,0.4492939666238768,0,0.0,1551,99.55070603337613,3,0.19255455712451863,0,0.0,4,0.25673940949935814
pma012a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma012b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma012c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma012d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013,7,0.4492939666238768,0,0.0,1551,99.55070603337613,7,0.4492939666238768,0,0.0,0,0.0
pma013a,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013b,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013c,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013d,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013e,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
pma013f,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0
