question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_55,pct_55,cnt_66,pct_66,cnt_77_NR,pct_77_NR,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pad009d,178,11.424903722721439,0,0.0,1380,88.57509627727856,62,3.979460847240052,0,0.0,116,7.445442875481387,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1089,69.89730423620026,0,0.0,465,29.845956354300384,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010a,465,29.845956354300384,0,0.0,1093,70.15404364569962,249,15.982028241335044,0,0.0,216,13.86392811296534,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010b,216,13.86392811296534,0,0.0,1342,86.13607188703466,19,1.2195121951219512,0,0.0,197,12.644415917843387,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010c,216,13.86392811296534,0,0.0,1342,86.13607188703466,72,4.621309370988447,0,0.0,142,9.114249037227214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010d,216,13.86392811296534,0,0.0,1342,86.13607188703466,44,2.8241335044929397,0,0.0,171,10.975609756097562,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010e,216,13.86392811296534,0,0.0,1342,86.13607188703466,200,12.836970474967908,0,0.0,15,0.9627727856225932,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010f,15,0.9627727856225932,0,0.0,1543,99.03722721437741,15,0.9627727856225932,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad010g,15,0.9627727856225932,0,0.0,1543,99.03722721437741,8,0.5134788189987163,0,0.0,7,0.4492939666238768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad011,1556,99.87163029525033,0,0.0,2,0.12836970474967907,936,60.07702182284981,0,0.0,618,39.66623876765084,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad011a,618,39.66623876765084,0,0.0,940,60.33376123234917,356,22.849807445442877,0,0.0,262,16.816431322207958,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad011b,262,16.816431322207958,0,0.0,1296,83.18356867779204,13,0.8344030808729139,0,0.0,249,15.982028241335044,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad011c,262,16.816431322207958,0,0.0,1296,83.18356867779204,66,4.2362002567394095,0,0.0,194,12.45186136071887,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad011d,262,16.816431322207958,0,0.0,1296,83.18356867779204,66,4.2362002567394095,0,0.0,196,12.58023106546855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012y,413,26.50834403080873,316,20.282413350449293,1145,73.49165596919127,1,0.06418485237483953,0,0.0,3,0.19255455712451863,22,1.4120667522464698,30,1.9255455712451863,48,3.080872913992298,58,3.7227214377406934,21,1.3478818998716302,33,2.1181001283697047,17,1.0911424903722722,22,1.4120667522464698,8,0.5134788189987163,19,1.2195121951219512,12,0.7702182284980745,12,0.7702182284980745,7,0.4492939666238768,4,0.25673940949935814,1,0.06418485237483953,0,0.0,0,0.0,95,6.097560975609756,0,0.0,0,0.0,0,0.0
pad012z,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012a,71,4.557124518613607,0,0.0,1487,95.4428754813864,32,2.053915275994865,0,0.0,39,2.503209242618742,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012b,363,23.299101412066754,0,0.0,1195,76.70089858793325,252,16.174582798459564,0,0.0,111,7.124518613607189,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012c,111,7.124518613607189,0,0.0,1447,92.8754813863928,52,3.3376123234916557,0,0.0,59,3.7869062901155326,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012dy,59,3.7869062901155326,46,2.952503209242619,1499,96.21309370988446,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,2,0.12836970474967907,7,0.4492939666238768,2,0.12836970474967907,4,0.25673940949935814,3,0.19255455712451863,2,0.12836970474967907,7,0.4492939666238768,5,0.3209242618741977,3,0.19255455712451863,4,0.25673940949935814,5,0.3209242618741977,1,0.06418485237483953,5,0.3209242618741977,3,0.19255455712451863,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0
pad012dz,0,0.0,0,0.0,1558,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad012e,26,1.6688061617458279,0,0.0,1532,98.33119383825417,9,0.5776636713735559,0,0.0,17,1.0911424903722722,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pad013y,363,23.299101412066754,255,16.367137355584084,1195,76.70089858793325,0,0.0,0,0.0,2,0.12836970474967907,22,1.4120667522464698,25,1.6046213093709885,38,2.4390243902439024,57,3.6585365853658534,36,2.3106546854942236,27,1.7329910141206675,16,1.0269576379974326,16,1.0269576379974326,15,0.9627727856225932,19,1.2195121951219512,12,0.7702182284980745,11,0.7060333761232349,14,0.8985879332477535,8,0.5134788189987163,2,0.12836970474967907,3,0.19255455712451863,0,0.0,35,2.246469833119384,0,0.0,4,0.25673940949935814,1,0.06418485237483953
pad013z,1,0.06418485237483953,0,0.0,1557,99.93581514762516,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953
