question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_66,pct_66,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pod011g,70,4.492939666238768,0,0.0,1488,95.50706033376123,30,1.9255455712451863,0,0.0,40,2.5673940949935816,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod012,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1274,81.77150192554558,0,0.0,279,17.907573812580228,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.19255455712451863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod012a,279,17.907573812580228,0,0.0,1279,82.09242618741976,115,7.381258023106548,0,0.0,164,10.526315789473683,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod012b,164,10.526315789473683,0,0.0,1394,89.47368421052632,74,4.7496790757381255,0,0.0,90,5.7766367137355585,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod012c,164,10.526315789473683,55,3.530166880616174,1394,89.47368421052632,0,0.0,55,3.530166880616174,51,3.2734274711168165,58,3.7227214377406934,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod012d,164,10.526315789473683,0,0.0,1394,89.47368421052632,58,3.7227214377406934,0,0.0,106,6.8035943517329915,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod013y,568,36.45699614890886,418,26.82926829268293,990,63.54300385109114,0,0.0,1,0.06418485237483953,6,0.38510911424903727,31,1.989730423620026,45,2.8883183568677793,45,2.8883183568677793,47,3.0166880616174585,47,3.0166880616174585,46,2.952503209242619,16,1.0269576379974326,49,3.1450577663671373,38,2.4390243902439024,43,2.7599486521181,36,2.3106546854942236,31,1.989730423620026,19,1.2195121951219512,18,1.1553273427471118,8,0.5134788189987163,0,0.0,38,2.4390243902439024,0,0.0,4,0.25673940949935814
pod013z,3,0.19255455712451863,0,0.0,1555,99.80744544287549,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907
pod013a,168,10.783055198973042,0,0.0,1390,89.21694480102695,74,4.7496790757381255,0,0.0,94,6.033376123234917,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pod013b,406,26.059050064184852,0,0.0,1152,73.94094993581515,206,13.222079589216944,0,0.0,199,12.77278562259307,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
