question,cnt_non_nan,pct_non_nan,cnt_non_standard,pct_non_standard,cnt_nan,pct_nan,cnt_0_NO,pct_0_NO,cnt_1,pct_1,cnt_2_SI,pct_2_SI,cnt_3_AV/A,pct_3_AV/A,cnt_4,pct_4,cnt_5,pct_5,cnt_6,pct_6,cnt_7_NR,pct_7_NR,cnt_8_NA,pct_8_NA,cnt_9_NS,pct_9_NS,cnt_10,pct_10,cnt_11,pct_11,cnt_12,pct_12,cnt_13,pct_13,cnt_14,pct_14,cnt_15,pct_15,cnt_16,pct_16,cnt_17,pct_17,cnt_18,pct_18,cnt_20,pct_20,cnt_25,pct_25,cnt_30,pct_30,cnt_40,pct_40,cnt_66,pct_66,cnt_77_NR,pct_77_NR,cnt_88_NA,pct_88_NA,cnt_99_NS,pct_99_NS
pcd014,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1332,85.49422336328625,0,0.0,222,14.249037227214378,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd015,1556,99.87163029525033,0,0.0,2,0.12836970474967907,1413,90.69319640564827,0,0.0,142,9.114249037227214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd016,276,17.715019255455715,0,0.0,1282,82.28498074454428,100,6.418485237483954,0,0.0,176,11.296534017971759,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd016a,176,11.296534017971759,0,0.0,1382,88.70346598202823,46,2.952503209242619,0,0.0,130,8.34403080872914,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd016b,130,8.34403080872914,0,0.0,1428,91.65596919127086,51,3.2734274711168165,0,0.0,79,5.070603337612323,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd016c,79,5.070603337612323,0,0.0,1479,94.92939666238767,35,2.246469833119384,0,0.0,44,2.8241335044929397,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd016d,130,8.34403080872914,0,0.0,1428,91.65596919127086,23,1.4762516046213094,0,0.0,107,6.867779204107831,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
pcd017y,276,17.715019255455715,201,12.901155327342748,1282,82.28498074454428,0,0.0,0,0.0,1,0.06418485237483953,5,0.3209242618741977,11,0.7060333761232349,4,0.25673940949935814,22,1.4120667522464698,24,1.540436456996149,27,1.7329910141206675,16,1.0269576379974326,22,1.4120667522464698,13,0.8344030808729139,39,2.503209242618742,28,1.797175866495507,22,1.4120667522464698,27,1.7329910141206675,8,0.5134788189987163,5,0.3209242618741977,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12836970474967907
pcd017z,2,0.12836970474967907,0,0.0,1556,99.87163029525033,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953
pcd018,1529,98.13863928112966,0,0.0,29,1.8613607188703467,1163,74.64698331193838,0,0.0,365,23.42747111681643,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06418485237483953,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
