id,lca_k2_prob_class0,lca_k2_prob_class1,lca_k3_prob_class0,lca_k3_prob_class1,lca_k3_prob_class2,lca_k4_prob_class0,lca_k4_prob_class1,lca_k4_prob_class2,lca_k4_prob_class3,lca_k5_prob_class0,lca_k5_prob_class1,lca_k5_prob_class2,lca_k5_prob_class3,lca_k5_prob_class4,lca_k6_prob_class0,lca_k6_prob_class1,lca_k6_prob_class2,lca_k6_prob_class3,lca_k6_prob_class4,lca_k6_prob_class5
27,0.9998314750433679,0.00016852495663104004,4.341755907788032e-06,1.3041677738895474e-11,0.999995658231054,3.8490003138509445e-11,0.0,4.547637925766571e-06,0.9999954523235838,2.513405161615604e-09,0.9999999968392856,0.0,5.619504761575634e-16,6.473108264341803e-10,5.291677353598692e-16,0.9999999039331702,9.256680294651412e-08,9.422091783368317e-13,3.499083363154385e-09,0.0
28,1.0,1.4936584497658116e-17,2.0392362428297172e-26,0.9999999975056575,2.494342395241491e-09,0.9999999989782218,0.0,8.760387348204106e-27,1.0217765900556884e-09,7.821441930559038e-14,2.0902135162342263e-09,0.0,0.9999999979097076,3.69872024413321e-29,0.9999999979636449,1.9856582505110543e-09,3.1089462077797495e-29,3.625547550597877e-27,5.0696306537489545e-11,0.0
34,0.9999999996258637,3.741331170337383e-10,1.3017142084618832e-14,0.9969752309295823,0.0030247690704078047,0.99906789491139,0.0,3.612261705877385e-15,0.0009321050886055089,2.5287551014508993e-06,9.628880255579997e-05,0.0,0.9999011824423413,2.9204504553646403e-17,0.9996961020446495,0.00014686040243688187,3.4469971138734326e-17,5.336829107676971e-15,0.00015703755290780093,0.0
37,1.5945502411768998e-16,1.0,0.9999999985334114,5.080938327186651e-32,1.4665937263022455e-09,2.9829405222144186e-31,0.0,0.9999999980850731,1.9149340956876244e-09,2.1426075919718048e-14,0.999999995755303,0.0,4.5956805350861115e-33,4.24467487453499e-09,2.5374295873764613e-34,0.999999998841588,4.116955306621587e-12,1.154291591080131e-09,3.844093265798424e-16,0.0
39,0.992469292703543,0.007530707296459493,8.766521435833724e-06,4.712813640702777e-13,0.9999912334780916,2.5147514972597146e-12,0.0,9.35845346035162e-06,0.9999906415440235,7.044867803031367e-10,0.9999999974470342,0.0,4.319462593559674e-10,1.4165316694355045e-09,3.73849921230091e-16,0.999999995724572,2.6461351511126066e-09,1.8122190216093647e-11,1.6111692842892185e-09,0.0
41,0.9983298577600133,0.0016701422399901654,5.7904396274041384e-08,8.049910447161102e-06,0.9999918921851562,2.2937896307266126e-05,0.0,3.84752512360088e-08,0.9999770236284404,0.053925206259158226,0.945837211424696,0.0,0.0002375718025905851,1.0513556429698408e-08,3.209729153943255e-05,0.9239442025311049,1.8495632206606475e-10,2.438573053875886e-06,0.07602126141934239,0.0
42,0.9935335381678688,0.0064664618321319655,6.458026743034072e-07,2.1880814396155498e-14,0.9999993541973022,4.305672939668545e-14,0.0,4.08661561197605e-07,0.9999995913383923,0.7949278038472519,0.20500993008594592,0.0,6.217848455829041e-05,8.758224558259154e-08,1.4072742858850586e-14,0.05084159633055666,7.353439357164765e-09,1.4184575443954509e-06,0.9491569778584432,0.0
45,0.0314160417922872,0.9685839582077085,3.055911968997804e-05,5.434990662764373e-09,0.9999694354453172,1.4230820808874524e-08,0.0,1.8331218299319652e-05,0.9999816545508742,0.9448543256965403,0.05513560725572949,0.0,5.069858222340616e-07,9.560061904728126e-06,7.179747717370929e-08,0.05360623135966831,3.0494981208366864e-07,0.0006324743948761137,0.9457609174981693,0.0
47,0.0007617744097018878,0.9992382255902955,0.0004056217038472079,8.68189637048066e-12,0.9995943782874689,2.390607007022909e-11,0.0,0.00022826263464805047,0.9997717373414469,0.9848590277710403,0.014924873404867953,0.0,1.1909079865822331e-09,0.00021609763318573982,1.4766297796980846e-10,0.0166537592044486,2.0998024146455446e-07,0.05114143637775696,0.9322045942898888,0.0
48,0.9999268019719146,7.319802808657365e-05,1.339049828117172e-11,6.055320356491497e-40,0.9999999999866134,3.257872161637483e-39,0.0,1.3973092504315666e-11,0.9999999999860307,4.687389387575131e-14,0.9999999999998579,0.0,1.1734419116846258e-26,1.0203639627153305e-13,1.6573558014207724e-40,0.9999999999842117,1.52531784129201e-11,6.072405453633203e-17,5.348962041468019e-13,0.0
52,3.870401361826852e-08,0.9999999612959848,0.9950623324110405,3.932242497025245e-15,0.004937667588953073,1.9965727480083028e-14,0.0,0.9945487919935715,0.005451208006408579,5.526407861448872e-08,0.6057164130536445,0.0,8.636359135439683e-18,0.3942835316822765,3.824828031515195e-19,0.09318201516448386,0.9067932800309835,2.4702572129514864e-05,2.2323996787860877e-09,0.0
53,5.079761236767239e-19,1.0,0.9999998122416861,1.3131610463664328e-28,1.8775830710314967e-07,4.2679592802859395e-28,0.0,0.9999998345889759,1.654110175368467e-07,4.158294799815343e-21,0.00019158538718418305,0.0,9.152048193173937e-33,0.9998084146128144,2.294577522457331e-37,1.2534775351649001e-08,0.9999999874563628,8.864144048810002e-12,1.2273017363960366e-25,0.0
54,9.739349956032417e-08,0.9999999026065017,0.8270171911222892,1.2533625370663943e-22,0.17298280887771528,7.379679066096293e-22,0.0,0.7138053805349702,0.28619461946503383,0.9478621559061706,0.0003912094123379996,0.0,4.922857495332768e-14,0.051746634681439994,1.2890602151869876e-22,0.0005082763496461639,0.01387623587899157,1.273421645388902e-09,0.9856154864979468,0.0
56,2.5868486518787807e-11,0.9999999999741362,0.9999688270246065,1.4104425397185912e-20,3.1172975398737093e-05,1.1860774588041369e-19,0.0,0.999956660275598,4.333972440902057e-05,6.288108387092064e-07,7.793081271663937e-06,0.0,1.0148483517238707e-21,0.9999915781078894,3.3855462478338933e-22,1.9381857147582458e-05,0.9041617610493137,0.09581874962451922,1.0746901801060695e-07,0.0
66,1.2180176596152622e-19,1.0,0.9999999999325695,1.159906899481715e-35,6.74320513388801e-11,1.413979465340315e-34,0.0,0.9999999999197229,8.02790539690639e-11,1.0279863773728413e-14,1.6125568790078946e-11,0.0,3.332336286654131e-37,0.9999999999838707,4.9490430775739646e-39,1.4758444192411684e-11,0.9999480925964732,5.190738876205789e-05,8.770480241336432e-17,0.0
67,2.8692102866382277e-09,0.9999999971307858,0.8357453608669335,8.831477971148908e-31,0.1642546391330683,3.424470503791154e-30,0.0,0.5908918395949654,0.4091081604050287,0.9998353358034574,5.2345872133336e-09,0.0,3.545003475579025e-17,0.000164658961957313,9.495901324036027e-33,1.5823177836405144e-08,2.893585791866499e-06,0.14772185646945998,0.8522752341215721,0.0
69,0.9999999999938609,6.142568249994166e-12,8.801574866178929e-17,0.9989071029310858,0.0010928970689120605,0.9996443846148871,0.0,2.5133884248834756e-17,0.00035561538511507464,1.1240863815110232e-07,0.002134694049882431,0.0,0.9978651935414765,5.519138076343057e-19,0.997497936041931,0.002498444871660397,6.582663219659682e-20,6.584553286056757e-17,3.6190864053105874e-06,0.0
