id,lca_k2_prob_class0,lca_k2_prob_class1,lca_k3_prob_class0,lca_k3_prob_class1,lca_k3_prob_class2,lca_k4_prob_class0,lca_k4_prob_class1,lca_k4_prob_class2,lca_k4_prob_class3,lca_k5_prob_class0,lca_k5_prob_class1,lca_k5_prob_class2,lca_k5_prob_class3,lca_k5_prob_class4,lca_k6_prob_class0,lca_k6_prob_class1,lca_k6_prob_class2,lca_k6_prob_class3,lca_k6_prob_class4,lca_k6_prob_class5
330,1.3077592282696939e-32,1.0,7.191016250601034e-51,1.0,1.276101688770594e-17,2.1445381872120305e-50,3.8652636992130305e-20,4.662068581113427e-11,0.9999999999533813,4.969525818684984e-33,1.8918817878787857e-57,1.2247263372839797e-16,0.9999999905174235,9.482577397196637e-09,1.2130630800640736e-57,0.999999979198144,9.41219919528533e-26,1.3620874256599678e-17,1.8666661748635958e-61,2.0801853641019383e-08
332,0.6512056186299967,0.3487943813700002,7.365598786595748e-09,1.8089971337844563e-06,0.999998183637268,7.433556006355288e-09,0.9999998775202106,3.251955855637379e-08,8.252667216605193e-08,0.9949164162904109,2.9952998327397365e-11,3.753950669842809e-06,9.924497927324788e-14,0.005079829728865165,5.022363065380719e-11,2.392603305412541e-14,0.999358210137102,3.184543577438617e-07,0.00046189795799463855,0.00017957340030062355
333,0.9998750990293501,0.0001249009706463551,0.004924315085301929,8.348954165368486e-08,0.9950756014251543,0.01606627120641929,0.9839094337915562,2.429491983791848e-05,8.218702220006066e-11,0.9996399667518631,2.2556905961215168e-05,0.00033334590624335583,6.5359389323212394e-15,4.1304359285629e-06,0.000278428579452488,4.5368358559882665e-15,0.018890410131653913,0.0008886161957219653,0.979941173725371,1.3713677992835888e-06
334,0.9999971836276,2.8163724000821432e-06,0.2843715650365009,6.2222978467912415e-09,0.7156284287411999,0.5093636019991852,0.49062982999769406,6.568002706705203e-06,4.1273479377280284e-13,0.998693715300888,0.0009979044411721723,0.0003078125343700651,1.993093472677531e-17,5.67723572787113e-07,0.0002817765355762854,7.661101378652438e-19,4.3142462079908944e-06,3.71489333365281e-05,0.9996767502132392,1.0071638657647778e-08
335,0.999993608551347,6.391448650236937e-06,0.00018943053764025307,4.6166679405231516e-10,0.9998105690006954,0.00014307517123255396,0.9998569244591136,3.6848486520180153e-10,1.1702334041654306e-12,0.9999908031557181,3.00249861673265e-07,2.0298135529378912e-07,6.270186402592983e-20,8.693613066501295e-06,2.8164243175378226e-06,1.9498193655309026e-19,0.015737946613133373,3.6992830592585584e-07,0.9842512720220424,7.595012198340719e-06
339,0.9999999724364418,2.7563556596234845e-08,0.40102562256465196,6.784469652215906e-11,0.5989743773675057,0.6570430324502,0.342956877122774,9.042702040029949e-08,9.090556019265627e-15,0.9990631102618995,0.0009321974525386966,4.680558871555862e-06,3.988836423103865e-20,1.1726690038070955e-08,0.025965587910596166,9.634313403930223e-20,0.103455860902152,2.0764867343252182e-05,0.8705577824797543,3.840152650611148e-09
340,0.0014034735558218375,0.998596526444175,3.955590069207289e-10,0.0001813485861548721,0.9998186510182848,1.0098118764543937e-09,0.9999629404614118,2.2685434879716782e-05,1.437309389746862e-05,0.12297858290453761,3.807266992310427e-20,0.000202542654978435,2.6391050489220906e-10,0.876818874176573,3.171228428892239e-19,4.48378933599514e-10,0.011094620416885522,0.0005281345953538207,0.05967656638878819,0.928700678150596
341,7.092373375858371e-22,1.0,2.7437709416892617e-35,0.9999999972730365,2.7269639879833573e-09,1.1437142520133526e-35,8.041592908743877e-11,1.0656095252181634e-09,0.9999999988539727,3.53065104276065e-16,8.633744938824798e-40,4.351229859416795e-12,0.0779922682699698,0.9220077317256782,2.7871353164250188e-39,0.015159347413269094,1.1912669520551138e-16,2.8639595022554024e-12,2.413922647737821e-25,0.9848406525838661
343,1.346465340022208e-23,1.0,4.281300462972214e-42,0.9999999999995879,4.0693854816632804e-13,2.5814639312699935e-40,1.8053320305835458e-14,0.9997523428566065,0.0002476571433820187,2.7946788114328275e-26,2.3949819327001745e-47,1.7751735319425277e-08,0.9999999821005617,1.4770361322503278e-10,3.0706166058105565e-48,0.9999999922978091,5.868726572466709e-31,7.511624412722255e-09,3.4183750223258665e-58,1.9056607821951961e-10
345,1.0,7.172412222874372e-16,0.9999999670635132,2.6194107846457855e-23,3.2936486570049104e-08,0.9999999787890703,2.121093019209257e-08,1.369932942266651e-16,4.4798835881843143e-29,6.893019239319411e-06,0.9999931069689438,1.1816383171241465e-11,6.902129177602517e-34,6.665966035698475e-19,0.9999993563245007,5.573921837337399e-34,7.357713338025166e-08,7.990485359880419e-12,5.70090375479659e-07,1.704999309989868e-20
